title,text,label
Government launches new healthcare program,The government has officially announced a new healthcare reform program...,real
Aliens landed in New York City,Witnesses report seeing unidentified flying objects and aliens...,fake
Stock markets hit record high,The Dow Jones and Nasdaq indexes saw record highs this week...,real
Celebrity claims Earth is flat,A well-known celebrity stated on social media that the Earth is flat...,fake
Scientists discover new species in Amazon,Researchers have found a previously unknown species deep in the Amazon...,real
Man claims to time travel from 2050,A man appeared claiming he came from the year 2050 with future insights...,fake
Global warming reaches alarming levels,New data shows global warming trends have reached critical thresholds...,real
Fake cure for COVID-19 spreads online,Social media platforms see rise in posts about a fake COVID-19 cure...,fake
Breakthrough in cancer research,A team of scientists made a major breakthrough in cancer treatment...,real
Politician caught in corruption scandal,A prominent politician is under investigation for corruption charges...,real
Government launches new healthcare program,The government has officially announced a new healthcare reform program...,real
Aliens landed in New York City,Witnesses report seeing unidentified flying objects and aliens...,fake
Stock markets hit record high,The Dow Jones and Nasdaq indexes saw record highs this week...,real
Celebrity claims Earth is flat,A well-known celebrity stated on social media that the Earth is flat...,fake
Scientists discover new species in Amazon,Researchers have found a previously unknown species deep in the Amazon...,real
Man claims to time travel from 2050,A man appeared claiming he came from the year 2050 with future insights...,fake
Global warming reaches alarming levels,New data shows global warming trends have reached critical thresholds...,real
Fake cure for COVID-19 spreads online,Social media platforms see rise in posts about a fake COVID-19 cure...,fake
Breakthrough in cancer research,A team of scientists made a major breakthrough in cancer treatment...,real
Politician caught in corruption scandal,A prominent politician is under investigation for corruption charges...,real
Government launches new healthcare program,The government has officially announced a new healthcare reform program...,real
Aliens landed in New York City,Witnesses report seeing unidentified flying objects and aliens...,fake
Stock markets hit record high,The Dow Jones and Nasdaq indexes saw record highs this week...,real
Celebrity claims Earth is flat,A well-known celebrity stated on social media that the Earth is flat...,fake
Scientists discover new species in Amazon,Researchers have found a previously unknown species deep in the Amazon...,real
Man claims to time travel from 2050,A man appeared claiming he came from the year 2050 with future insights...,fake
Global warming reaches alarming levels,New data shows global warming trends have reached critical thresholds...,real
Fake cure for COVID-19 spreads online,Social media platforms see rise in posts about a fake COVID-19 cure...,fake
Breakthrough in cancer research,A team of scientists made a major breakthrough in cancer treatment...,real
Politician caught in corruption scandal,A prominent politician is under investigation for corruption charges...,real
Government launches new healthcare program,The government has officially announced a new healthcare reform program...,real
Aliens landed in New York City,Witnesses report seeing unidentified flying objects and aliens...,fake
Stock markets hit record high,The Dow Jones and Nasdaq indexes saw record highs this week...,real
Celebrity claims Earth is flat,A well-known celebrity stated on social media that the Earth is flat...,fake
